UNITNAME,code,colour
Cape River Metamorphics/z,PLEc/z,#592600
Cape River Metamorphics/z?,PLEc/z?,#592600
Cape River Metamorphics?,PLEc?,#a6704c
Capel Granodiorite,Dgce,#a80019
Cardross Orthogneiss,PLdd/g5,#ff4d5c
Carew Greenstone,PLr,#4cff57
Carew Greenstone/a,PLr/a,#4cff57
Cargoon Granodiorite,Dgca,#f5997a
Carleton Monzogranite,Dgc,#ff33ff
Carnes Granodiorite,Pgc,#ff6640
Carriers Well Formation,Oc,#b5478c
Carriers Well Formation/l,Oc/l,#d666ba
Carriers Well Formation?,Oc?,#b5478c
Carron Rhyolite,PLrc,#d6a361
Carron Rhyolite/a,PLrc/a,#bd8a47
Carron Rhyolite?,PLrc?,#d6a361
Carrs Granite/1,Cgoc/1,#f561b5
Carrs Granite/2,Cgoc/2,#e6479c
Carrs Granite/3,Cgoc/3,#cc297d
Carruchan Monzogranite,Cgca,#bd2f53
Carse Creek Complex,ODcc,#a80000
Carse-O-Gowrie Granodiorite,SDgco,#ff7a7a
Carse-O-Gowrie Granodiorite/f,SDgco/f,#ff3847
Carse-O-Gowrie Granodiorite/g,SDgco/g,#ffbdc2
Carters Bore Rhyolite,PLhr,#91664a
Carysfort Quartzite,PLt,#ffff80
Carysfort Quartzite/e,PLt/e,#ffff00
Casey Spring Creek Granodiorite,SDgcs,#e66161
Cassidy Creek Metamorphics,PLcm,#ccc299
Castle Hill Granite,Pgc,#cd6699
Caterpillar Microgranite,Cgc,#f22e47
Catherine Creek Granodiorite,CPgac,#f5adad
Cattle Camp Granite,Pgza,#ffd9e6
Cattle Camp Granite/m,Pgza/m,#f2bfcc
Cbx-SF55-02,Cbx,#ffd65c
Cd-7962,Cd,#ffd9f2
Centauri Granodiorite,SDgct,#db80b3
Cg-7962,Cg,#c24e67
Cg-8259,Cg,#c24e67
Cg/1-7763,Cg/1,#ffd9d9
Cg/1-7863,Cg/1,#ffd9d9
Cg/2-7763,Cg/2,#ff8ca6
Cg/3-7863,Cg/3,#e60000
Cg/a-BVSP,Cg/a,#f05993
Cg/d-7863,Cg/d,#ff00c5
Cg/d-8059,Cg/d,#572bff
Cg/f-8059,Cg/f,#ba499e
Cg/gd-BVSP,Cg/gd,#b32b4c
Cg/l-7863,Cg/l,#c2194c
Cg/n-8059,Cg/n,#ffbebe
Cg/p-8059,Cg/p,#ffa6a6
Cg/p-8159,Cg/p,#ffa6a6
Cg/p?-8159,Cg/p?,#ffa6a6
Cg/t-7959,Cg/t,#ff7f7f
Cg/y-8059,Cg/y,#ed3261
Cg?-7660,Cg?,#c24e67
Cgc/g-7963,Cgc/g,#ffa77f
Cgc/p-7963,Cgc/p,#ffbebe
Cgdt-7863,Cgdt,#cc4040
Cgev-SE54-8,Cgev,#e64c99
Cgg-7862,Cgg,#ff73df
Cgj-7863,Cgj,#a80084
Cgk-7862,Cgk,#ff6e19
Cgm-7862,Cgm,#e600a9
Cgm?-7862,Cgm?,#e600a9
Cgp-7762,Cgp,#e63746
Cgt-7962,Cgt,#ff73df
Cgt/a-Kennedy Province,Cgt/a,#ffbee8
Cgt/g-7963,Cgt/g,#ff00c5
Cgt/g?-7963,Cgt/g?,#ff00c5
Cgt/m-SE55,Cgt/m,#ff73df
Cgt/p-Kennedy Province,Cgt/p,#d9009c
Cgx-7863,Cgx,#db80d1
Chadshunt Granite,PLgec,#db4040
Chahpingah Meta-igneous Complex,Cgc,#f5804c
Charelle Granite,SDgcl,#ffccff
Charlies Knob Granite,Cgzc,#f57ab6
Charlies Knob Granite?,Cgzc?,#f57ab6
Charters Towers Metamorphics,PLEct,#f7a765
Charters Towers Metamorphics/ca,PLEct/ca,#f7cc8c
Charters Towers Metamorphics/m,PLEct/m,#de8c4c
Charters Towers Metamorphics/ms,PLEct/ms,#d6bfbf
Charters Towers Metamorphics/s,PLEct/s,#b08582
Charters Towers Metamorphics?,PLEct?,#f7a765
Chelmsford Gneiss,PLyc,#804c40
Chelmsford Gneiss?,PLyc?,#804c40
Cherry Tree Granite,Pgzc,#db33b8
Cherry Tree Granite/m,Pgzc/m,#c2199e
Chevy Creek Granite,Dgch,#ff424d
Chillagoe Formation,SDc,#c969d6
Chillagoe Formation/a1,SDc/a1,#b04fbd
Chillagoe Formation/a1?,SDc/a1?,#b04fbd
Chillagoe Formation/a2,SDc/a2,#db9ef0
Chillagoe Formation/am,SDc/am,#fca6ff
Chillagoe Formation/b,SDc/b,#e382f0
Chillagoe Formation/c,SDc/c,#9636a3
Chillagoe Formation/cg,SDc/cg,#d94cd9
Chillagoe Formation/l,SDc/l,#ffccff
Chillagoe Formation/m,SDc/m,#c982f0
Chillagoe Formation/q,SDc/q,#e39cff
Chillagoe Formation/s,SDc/s,#b069d6
Chillagoe Formation?,SDc?,#c969d6
China Camp Microgranite,Pgcm,#ffbf99
Chinaman Creek Limestone,Dwc,#dbbff0
Chinamans Creek Granite,SDgac,#ff4c4c
Chipley Granite,Ogc,#db3385
Chippendale Granodiorite,SDgch,#ff66b3
Christmas Hill Trondhjemite,Sgx,#ffb3a6
Chudleigh Basalt-Qb,Qbc,#faeba0
Chudleigh Basalt-Qb/2,Qbc/2,#f5f264
Chudleigh Basalt-Qb>Dumbano Granite/2,Qbc>Sgd/2,#faeba0
Chudleigh Basalt-Qb>Einasleigh Metamorphics/1a,Qbc>PLe/1a,#faeba0
Chudleigh Basalt-Qb>Einasleigh Metamorphics/1d,Qbc>PLe/1d,#faeba0
Chudleigh Basalt-Qb>Einasleigh Metamorphics/1e,Qbc>PLe/1e,#faeba0
Chudleigh Basalt-Qb>Einasleigh Metamorphics/3a,Qbc>PLe/3a,#faeba0
Chudleigh Basalt-Qb>Oasis Metamorphics-PLEo/3?,Qbc>PLo/4?,#faeba0
Chudleigh Basalt-TQb,TQbc,#edca85
Chudleigh Basalt-TQb/v,TQbc/v,#d4b06b
Chudleigh Basalt-TQb?,TQbc?,#edca85
Chudleigh Basalt/v,TQbc/v,#d1b66b
Chudleigh basalt-Qb/v,Qbc/v,#fcf6ca
Chuko Quartzite,PLyq,#ffc433
Chulcee Formation,PLzic,#e6c480
Chulcee Formation?,PLzic?,#e6c480
Chumvale Breccia,PLcx,#e6994c
Cia-Kennedy Province,Cia,#7857ff
Cid-Kennedy Province,Cid,#ffe04d
Cigarette Granite,Cgti,#ffb3e8
Cir-Kennedy Province,Cir,#ffc417
"Cir-Kennedy Province,Cape River Metamorphics","Cir,PLc",#ffc417
"Cir-Kennedy Province,Sues Creek Microgranite,Eastdale Granite","Cir,Cgs,Cge",#ffc417
Cir?-Kennedy Province,Cir?,#ffc417
Clamshell Granite,Pgccl,#ffbee8
Clare Hills Granite,Pgch,#ff8a63
Claret Creek Volcanics,Cvc,#35a6de
Clarke River Group,Cc,#c9c9c9
Clayhole Schist,EObc,#e08cf5
Clemant Microgranite,Cgn,#ff4263
Clematis Group,Re,#3bc4ad
Clgn-BVSP,Clgn,#f57a7a
Cliffdale Volcanics,PLvf,#b59654
Cliffdale Volcanics?,PLvf?,#b59654
Clotten Granodiorite,Pgac,#a80084
Coane Range Granite Complex,Cgcr,#d1324a
Coane Range Granite Complex?,Cgcr?,#d1324a
Cobbold Metadolerite,PLx,#2936cf
Cockie Spring Tonalite,Ogcs,#e657d3
Coleman River Gneiss,PLl,#9c8c26
Colless Volcanics,PLEvc,#eba66e
Colless Volcanics?,PLEvc?,#eba66e
Collingwood Granite,Pgcw,#f54c4c
Collingwood Granite/ap,Pgcw/ap,#ffc7c7
Collingwood Granite/mg,Pgcw/mg,#ff2626
Collins Weir Rhyolite,Pcrw,#ffc92e
Collopy Formation,Dy,#bdb1de
Collopy Formation/c,Dy/c,#a6a6ff
Collopy Formation?,Dy?,#bdb1de
Columbia Creek Complex,Ogc,#ffd9d9
Columbia Creek Complex/g,Ogc/g,#ffb3ff
Columbia Creek Complex/mz,Ogc/mz,#ffcfd9
Combella Rhyolite,Pfc,#99b3cc
Combella Rhyolite/1,Pfc/1,#668099
Combella Rhyolite/2,Pfc/2,#8099b3
Combella Rhyolite?,Pfc?,#99b3cc
Condamine beds,Puc,#2896b5
Cone Creek Metabasalt Member,PLnc,#dba333
Cone Creek Metabasalt Member/a,PLnc/a,#b57d0d
Confluence Granite,Cgtc,#ffccb0
Conical Knob Microgranite,Cgbc,#ba2b2d
Conjuboy Formation,Dc,#624dbd
Connie May Dolerite,Pgcm,#70338a
Connolly Volcanics,SDc,#7c4287
Constance Sandstone,PLsc,#edc296
Constance Sandstone?,PLsc?,#edc296
Controversy Hill Rhyolite,CPtc,#b2b2b2
Controversy Hill Rhyolite-altered,CPr/a,#7f7f7f
Controversy Hill Rhyolite/i,CPtc/i,#85abd6
Convict Granite,Cgoc,#ffd1d1
Coocerina Formation,PLpc,#663e30
Coocerina Formation?,PLpc?,#663e30
Cook Microgranite,Cgbk,#ff6388
Coonbeta Granite,Cgoco,#ffb3e8
Cope Granite,Sgc,#ffa6a6
Cope Granite/2,Sgc/2,#ffd9d9
Cope Granite/3,Sgc/3,#ff8c8c
Cope Granite/a,Sgc/a,#ffbfbf
Cope Granite?,Sgc?,#ffa6a6
Copper Bush Granite,Pgko,#e68040
Copper Bush Granite/mg,Pgko/mg,#e62640
Copper Bush Granite/p,Pgko/p,#e65940
Copper Bush Granite/y,Pgko/y,#e65940
Copper Bush Granite?,Pgko?,#e68040
Copper Valley Granite,PLgcv,#ff5714
Corbett Formation,PLco,#998052
Corbett Formation/q,PLco/q,#bda378
Corbett Formation/s,PLco/s,#70572b
Corbett Formation/s?,PLco/s?,#70572b
Corduroy Swamp Granite,Pgzcs,#ffbfb3
Corduroy Swamp Granite/f,Pgzcs/f,#ff9980
Corduroy Swamp Granite/fa,Pgzcs/fa,#ff8073
Corella Formation,PLkc,#ad8066
Corella Formation-a,PLkc-a,#d1c2a6
Corella Formation-b,PLkc-b,#b39987
Corella Formation-c,PLkc-c,#c49e80
Corella Formation-d,PLkc-d,#9e6e59
Corella Formation/1,PLkc/1,#6e4026
Corella Formation/1?,PLkc/1?,#6e4026
Corella Formation/1c,PLkc/1c,#c79980
Corella Formation/1q,PLkc/1q,#e0b399
Corella Formation/2,PLkc/2,#4c2e1c
Corella Formation/2l,PLkc/2l,#664736
Corella Formation/2q,PLkc/2q,#997a69
Corella Formation/2q?,PLkc/2q?,#997a69
Corella Formation/2t,PLkc/2t,#6e614f
Corella Formation/2ts-MK,PLkc/2ts,#6e614f
Corella Formation/3,PLkc/3,#ccab66
Corella Formation/3a,PLkc/3a,#e6c480
Corella Formation/3l,PLkc/3l,#ffde99
Corella Formation/3q,PLkc/3q,#b3914c
Corella Formation/3r,PLkc/3r,#a68540
Corella Formation/3s,PLkc/3s,#a68540
Corella Formation/a,PLkc/a,#664c47
Corella Formation/a?,PLkc/a?,#664c47
Corella Formation/ab,PLkc/ab,#8c736e
Corella Formation/b,PLkc/b,#805954
Corella Formation/b?,PLkc/b?,#805954
Corella Formation/c,PLkc/c,#b39994
Corella Formation/cs,PLkc/cs,#ccb3ad
Corella Formation/fs,PLkc/fs,#e6c480
Corella Formation/gf-MK,PLkc/gf,#ccad9c
Corella Formation/h,PLkc/h,#8a6352
Corella Formation/i,PLkc/i,#c9a391
Corella Formation/l,PLkc/l,#c2947d
Corella Formation/m,PLkc/m,#cc9e8c
Corella Formation/m-MK,PLkc/m,#cc9e8c
Corella Formation/mm-MK,PLkc/mm,#ffe6d4
Corella Formation/mq-MK,PLkc/mq,#b3664d
Corella Formation/ms-MK,PLkc/ms,#664736
Corella Formation/q,PLkc/q,#ebbda6
Corella Formation/q?,PLkc/q?,#ebbda6
Corella Formation/r,PLkc/r,#f0e0c2
Corella Formation/r?,PLkc/r?,#f0e0c2
Corella Formation/s,PLkc/s,#d9a68f
Corella Formation/s-MK,PLkc/s,#d9a68f
Corella Formation/sc,PLkc/sc,#f2c7ad
Corella Formation/ss-MK,PLkc/ss,#997a69
Corella Formation/t,PLkc/t,#6e4742
Corella Formation?,PLkc?,#ad8066
Corkscrew Rhyolite,Cnw,#e0e0e0
Corkscrew Rhyolite/1,Cnw/1,#c2c2c2
Corkscrew Rhyolite/2,Cnw/2,#949494
Corkscrew Rhyolite/3,Cnw/3,#a3a3a3
Cornelia Orthogneiss,EOgc,#b34483
Cornelia Orthogneiss?,EOgc?,#b34483
Cornishman Volcanic Complex/aa,Cvc/aa,#ffe0cc
Cornishman Volcanic Complex/di,Cvc/di,#9980ff
Cornishman Volcanic Complex/gb,Cvc/gb,#edebff
Cornishman Volcanic Complex/gx,Cvc/gx,#ffb8c4
Cornishman Volcanic Complex/r,Cvc/r,#ffdb73
Cornishman Volcanic Complex/ri,Cvc/ri,#ffb380
Cornishman Volcanic Complex/rx,Cvc/rx,#ffe8a3
Cornishman Volcanic Complex/vc,Cvc/vc,#d6dee0
Cornishman Volcanic Complex/vgx,Cvc/vgx,#ffd1b3
Cornishman Volcanic Complex/vx,Cvc/vx,#ff7a57
Cottell Rhyolite,Ctr,#cccccc
Cottell Rhyolite/1,Ctr/1,#a6a6a6
Cottell Rhyolite?,Ctr?,#cccccc
Cowie Suite,PLgc,#ff4ccf
Cowley Ophiolite Complex,EOc,#545ed9
Cracknell Granodiorite,Dgcn,#ff73df
Craigie Tonalite,SDgc,#ed34ed
Craigie Tonalite?,SDgc?,#ed34ed
Craigilee beds,SDc,#e8beff
Crane Creek Granite,Cgtoc,#e600a9
Cranky Creek Microgranodiorite,Cgby,#f04fc8
Crescent Granodiorite,SDgcr,#ff8cde
Crimea Granite,Ogcr,#ff8cb5
Croissant Granite,Cgct,#e6008f
Cromwell Metabasalt Member,PLhc,#e0e0bd
Cromwell Metabasalt Member/cs,PLhc/cs,#61613d
Cromwell Metabasalt Member/cs?,PLhc/cs?,#61613d
Cromwell Metabasalt Member/g,PLhc/g,#c7c7a3
Cromwell Metabasalt Member/p,PLhc/p,#949470
Cromwell Metabasalt Member/q,PLhc/q,#c7c7a3
Cromwell Metabasalt Member/q?,PLhc/q?,#c7c7a3
Cromwell Metabasalt Member/s,PLhc/s,#96a380
Cromwell Metabasalt Member/s1,PLhc/s1,#f0f5d1
Cromwell Metabasalt Member/s13,PLhc/s13,#fafad6
Cromwell Metabasalt Member/s14,PLhc/s14,#7a7a57
Cromwell Metabasalt Member/s1?,PLhc/s1?,#f0f5d1
Cromwell Metabasalt Member/s2,PLhc/s2,#c7ba96
Cromwell Metabasalt Member/s2?,PLhc/s2?,#c7ba96
Cromwell Metabasalt Member/s5,PLhc/s5,#e0d4b0
Cromwell Metabasalt Member/s5?,PLhc/s5?,#e0d4b0
Cromwell Metabasalt Member/s8,PLhc/s8,#ada17d
Cromwell Metabasalt Member/s8?,PLhc/s8?,#ada17d
Cromwell Metabasalt Member/sb,PLhc/sb,#e0c2b0
Cromwell Metabasalt Member/sq,PLhc/sq,#c7a6a6
Cromwell Metabasalt Member/t,PLhc/t,#b8ccb3
Cromwell Metabasalt Member?,PLhc?,#e0e0bd
Crooked Creek Conglomerate,Sc,#de73ff
Crooked Creek Conglomerate/l,Sc/l,#f799ff
Crooked Creek Conglomerate?,Sc?,#de73ff
Crosbie Formation,PLec,#b5d100
Crowns Diorite,Sgcd,#ccbfff
Crows Nest Granite,Rgr,#f04c4f
Croydon Volcanic Group,PLvc,#ff7817
Crusader Sandstone Member,PLvac,#e69800
Crystal Brook Volcanic Neck-Cgb,Cgb,#ff4c00
Crystal Brook Volcanic Neck-Cgg,Cgg,#cc4c00
Crystal Brook Volcanic Neck-Cgm,Cgm,#e64c00
Cs-7863,Cs,#a3acc4
Cta-7863,Cta,#595966
Culba Granodiorite,Cgu,#fcb0bf
Culba Granodiorite/g,Cgu/g,#e396a6
Cullens Creek Granite,Rxug,#ffa77f
Culpin Granite,Dgcu,#ff4d59
Cultivation Gully Formation,Dfc,#5c46a6
Cumbana Rhyolite/1,Cnc/1,#4ad9fa
Cumbana Rhyolite/1a,Cnc/1a,#63f2ff
Cumbana Rhyolite/1b,Cnc/1b,#bfccbf
Cumbana Rhyolite/2,Cnc/2,#30bfe0
Cumbana Rhyolite/bx,Cnc/bx,#17a6c7
Cumbana Rhyolite?,Cnc?,#4bdafa
Cummings Rhyolite,Cbc,#828282
Curraghmore Granite,Pgwu,#cc3333
Cv-7959,Cv,#abacb0
Cv-8259,Cv,#abacb0
D/um-Diamantina,D/um,#bf734c
DCg-Camel Creek,DCg,#bd3cb0
DCs-SE55,DCs,#d1b3e6
DCs?-8057,DCs?,#d1b3e6
DCs?-SE55,DCs?,#d1b3e6
Dagworth Andesite,CPnd,#bed2ff
Dagworth Andesite/r,CPnd/r,#a6b8ff
Dagworth Andesite/s,CPnd/s,#d9ebff
Dagworth Andesite?,CPnd,#bed2ff
Daintree Gneiss,PLyd,#bf8c66
Daintree Gneiss?,PLyd?,#bf8c66
Dalkum Microgranite,CPgd,#a8006b
Dalmore Granodiorite,SDgda,#ffb3bf
Dalnotter Dacite,Ckd,#b5bdad
Daniel Creek Formation,PLa,#872e14
Daniel Creek Formation/s,PLa/s,#731900
"Daniel Creek Formation/s,Digger Creek Granite","PLa/s,PLgd",#731900
Daniel Creek Formation/s?,PLa/s?,#731900
Dargalong Metamorphics,PLdd,#6e462e
Dargalong Metamorphics/g1,PLdd/g1,#d4ab94
Dargalong Metamorphics/g2,PLdd/g2,#ba917a
Dargalong Metamorphics/g3,PLdd/g3,#875e47
Dargalong Metamorphics/g4,PLdd/g4,#a17861
Dargalong Metamorphics/m,PLdd/m,#542b14
Dargalong Metamorphics/q,PLdd/q,#edc4ad
Davey Creek Granite,SDgav,#ff8cf7
David Granite,Cgoda,#e68c73
Dead Horse Metabasalt,PLd,#b5450d
Dead Horse Metabasalt/a,PLd/a,#d6662e
Deadman Granite,Cgod,#cd6699
Deadman Granite?,Cgod?,#cd6699
Deane Granodiorite,SDgn,#eb38b2
Deane Granodiorite/l,SDgn/l,#fa59d4
Deep Water Creek Granophyre,Pgd,#ff3847
Deighton Quartzite,PLpd,#853d36
Deighton Quartzite/1,PLpd/1,#6b241c
Deighton Quartzite/2,PLpd/2,#853d36
Deighton Quartzite/3,PLpd/3,#d1a68f
Deighton Quartzite/4,PLpd/4,#9e574f
Deighton Quartzite/5,PLpd/5,#f7b08f
Deighton Quartzite/cg,PLpd/cg,#eba39c
Deighton Quartzite/i,PLpd/i,#b87069
Delaney Granite,PLgy,#ffa699
Delaney Granite/a,PLgy/a,#ffbfb3
Delaney Granite?,PLgy?,#ffa699
Democrat Rhyolite Member,PLrid,#b38c33
Democrat Rhyolite Member/a?,PLrid/a?,#bf9940
Democrat Rhyolite Member?,PLrid?,#b38c33
Denford Granite,Cgtd,#cd6699
Depression Basalt,Qmp,#f7e77c
Desailly Granite,Pgwd,#f57ab6
Desert Creek Granite,Cgzd,#f233c2
Desert Creek Granite/a,Cgzd/a,#cc0d9c
Devon Microgranite,Cgcd,#e64c00
Devon Microgranite?,Cgcd?,#e64c00
Dg-SD54,Dg,#b32586
Dg/1-Gt,Dg/1,#cc6699
Dg/1-Gt?,Dg/1?,#cc6699
Dg/2-Gt,Dg/2,#e680b3
Dg/3-Gt,Dg/3,#b34c80
Dg/4-Gt,Dg/4,#ff3847
Dg/5-Gt,Dg/5,#ff66ff
Dg/6-Gt,Dg/6,#ff6370
Dg/a-Reedy Springs Batholith,Dg/a,#df73ff
Dg/r-Gt,Dg/3,#704489
Dg?-SE54-4,Dg?,#b32586
Dgak-SE54-4,Dgak,#f266c4
Dgax-SE54-4,Dgax,#ffa6eb
Dgg/l-SD54-16,Dgg/l,#faccff
Dgla-SE54-4,Dgla,#cc40a1
Dglb-SE54-4,Dglb,#ff4d82
Dgle-SE54-4,Dgle,#ff8ced
Dgm-SD54-16,Dgm,#ff8f99
Dgr-Pama Province,geophysics,#ff80ff
Dgr-SD54,Dgr,#ffdbff
Dickie Hill Granite,CPdgh,#ffbee8
Dickson Creek Rhyolite,Pvsx,#3390b8
Dido Tonalite,Sgi,#ffa6d9
Dido Tonalite/b,Sgi/b,#1926c9
Dido Tonalite/d,Sgi/d,#8a47ff
Dido Tonalite/d?,Sgi/d?,#8a47ff
Dido Tonalite/g,Sgi/g,#ffcccc
Dido Tonalite/t,Sgi/t,#ff5987
Dido Tonalite/t?,Sgi/t?,#ff5987
Dido Tonalite/x,Sgi/x,#ff249e
Dido Tonalite?,Sgi?,#ffa6d9
Digger Creek Granite,PLgd,#f57a99
Digger Creek Granite?,PLgd?,#f57a99
Dillons Knob Granite,SDgai,#ff8080
Dillons Knob Granite?,SDgai?,#ff8080
Dinah Formation,PLd,#bf8c99
Dinah Formation/d,PLd/d,#996673
Dinah Formation/h1,PLd/h1,#e6b3bf
Dingo Mountain Granodiorite,CPgdi,#e85dae
Dingo Prospect Skarn,PLgds,#ff6d59
Dip Creek Limestone,Dwd,#c2b3e6
Dipvale Granodiorite,PLgdv,#cc4059
Dirie Sandstone,PLzid,#8f5700
Disaster Granite,Cgtd,#cc4c00
Dismal Creek Dacite,Cd,#d9d9d9
Dixie Granite,Dgdx,#ff3333
Djungan Volcanic Subgroup/c,Pd/c,#7899bd
Djungan Volcanic Subgroup/cx,Pd/cx,#446589
Djungan Volcanic Subgroup/d,Pd/d,#3a9cde
Djungan Volcanic Subgroup/r,Pd/r,#5e80a3
Donaldsons Well Volcanic Member,Oj/d,#d140c7
Donaldsons Well Volcanic Member?,Oj/d?,#d140c7
Doncaster Member,Kud,#38a800
Donnybrook Diorite,Sgjd,#9980ff
Doolan Creek Rhyolite,Cd,#b5adbd
Doolan Creek Rhyolite/a,Cd/a,#9c94a3
Doolan Creek Rhyolite/b,Cd/b,#cfc7d6
Doom Supersequence,PLmh/6,#e8c4d4
Doomadgee Formation/1,PLfd/1,#e6734c
Doomadgee Formation/2,PLfd/2,#cc5933
Doomadgee Formation/3,PLfd/3,#ff8c66
Dora Granite,Cgdo,#f05b8f
Dora Granite?,Cgdo?,#f05b8f
Dosey Limestone,Dwo,#d9bfff
Dotswood Group,Dd,#795dde
Dotswood Group?,Dd?,#795dde
Double Barrel Andesite,Cvd,#83889e
Double Crossing Metamorphics,PLdc,#804d36
Double Crossing Metamorphics/b,PLdc/b,#a6735c
Drake Volcanics,Pvd,#8adaff
Drake Volcanics - alteration?,Pvd/a,#70bfff
Drake Volcanics?,Pvd?,#8adaff
Dregger Granite,PLged,#ffbee8
Dregger Granite?,PLged?,#ffbee8
Dreghorn Complex,CPidh,#ffe08a
Dreghorn Complex/p,CPidh/p,#ffc417
Drinkwater Diorite,ODgd,#6940ff
Drovers Lagoon Formation,PLed,#c7d659
Dry Bore Granite,Sgdb,#ff6e33
Dry River Metavolcanics,EObr,#9612b0
Dry River Metavolcanics/2,EObr/2,#c945e3
Drynoch Granite,CPgd,#eb00b8
Duck Granodiorite,SDgd,#bf4966
Duck Granodiorite?,SDgd?,#bf4966
Duffers Creek Dacite,Csd,#b8c4f0
Duffers Creek Dacite/1,Csd/1,#8591bd
Duffers Creek Dacite/2,Csd/2,#9eaad7
Duffers Creek Dacite/2?,Csd/2?,#9eaad7
Duffers Creek Dacite/a,Csd/a,#6b78a3
Duffs Range Granite,EOgd,#ffa1b3
Duffs Range Granite/l,EOgd/l,#ff2133
Dugald River Shale Member,PLpod,#d6cc9e
Dugald River Shale Member/l,PLpod/l,#b3a87a
Dumbano Granite/1,Sgd/1,#ffb3e6
Dumbano Granite/1?,Sgd/1?,#ffb3e6
Dumbano Granite/2,Sgd/2,#ff8cbf
Dumbano Granite/2?,Sgd/2?,#ff8cbf
Dunk Island Granite,Cgd,#ff73df
Dyke or Vein Containing Iron,fe,#e69900
Dyke or Vein Containing Quartz,q,#e6e600
Dynamite Creek Member,PLhd,#a68c87
Dynan Dacite/d,Pvyd/d,#7a8ef5
Dynan Dacite/d?,Pvyd/d?,#7a8ef5
Dynan Dacite/di,Pvyd/di,#6173db
Dynan Dacite/r,Pvyd/r,#94a8ff
Dynan Dacite/r?,Pvyd/r?,#94a8ff
Dyraaba Member,DCue/d,#66408c
EOg-7957,EOg,#ff3847
EOg/b-8157,EOg/b,#3340ff
Eastdale Granite,Cge,#b52859
Easter Egg Granite,PLgse,#f55994
Eastern Creek Volcanics,PLhe,#4f3228
Eastern Creek Volcanics/cg,PLhe/cg,#b5998f
Eastern Creek Volcanics/eq,PLhe/eq,#cfb3a8
Eastern Creek Volcanics/p,PLhe/p,#e6c9bf
Eastern Creek Volcanics/q,PLhe/q,#82665c
Eastern Creek Volcanics/q?,PLhe/q?,#82665c
Eastern Creek Volcanics/s,PLhe/s,#b89e94
Eastern Creek Volcanics/s?,PLhe/s?,#b89e94
Eastern Creek Volcanics?,PLhe?,#4f3228
Ebagoola Granite,Dge,#ff4f36
Ebagoola Granite?,Dge?,#ff4f36
Eden Vale Rhyolite,Cvev,#6b806b
Eden Vale Rhyolite?,Cvev?,#6b806b
Edmonds Creek Rhyolite,Cbe,#686868
Edward River Metamorphic Group,PLce,#c25219
Edward River Metamorphic Group/1,PLce/1,#c26b33
Edward River Metamorphic Group/1a,PLce/1a,#73450d
Edward River Metamorphic Group/2,PLce/2,#e6b880
Edward River Metamorphic Group/3,PLce/3,#ffd9a6
Edward River Metamorphic Group/3a,PLce/3a,#9e7038
Eight Mile Creek beds/a,Ple/a,#6677cd
Eight Mile Creek beds/e,Ple/e,#8091e6
Eight Mile Creek beds/s,Ple/s,#99abe6
Eight Mile Creek beds/v,Ple/v,#b3c4ff
Einasleigh Metamorphics/1,PLe/1,#80705e
Einasleigh Metamorphics/1a,PLe/1a,#b3a391
Einasleigh Metamorphics/1b,PLe/1b,#998a78
Einasleigh Metamorphics/1c,PLe/1c,#ccbdab
Einasleigh Metamorphics/1d,PLe/1d,#e6d6c4
Einasleigh Metamorphics/1e,PLe/1e,#665745
Einasleigh Metamorphics/1e?,PLe/1e?,#665745
Einasleigh Metamorphics/1f,PLe/1f,#f2e3d0
Einasleigh Metamorphics/3,PLe/3,#99705e
Einasleigh Metamorphics/3a,PLe/3a,#b38a78
Einasleigh Metamorphics/3b,PLe/3b,#99705e
Einasleigh Metamorphics/3c,PLe/3c,#cca391
Einasleigh Metamorphics/3e,PLe/3e,#805745
Einasleigh Metamorphics/3g,PLe/3g,#e0bda3
Einasleigh Metamorphics/3h,PLe/3h,#8c6352
Einasleigh Metamorphics/3i,PLe/3i,#663d2b
Einasleigh Metamorphics/3j,PLe/3j,#f5dbbd
Einasleigh Metamorphics/4,PLe/4,#a6594c
Einasleigh Metamorphics/a,PLe/a,#803d2b
Einasleigh Metamorphics/as,PLe/as,#995745
Einasleigh Metamorphics/m,PLe/m,#cc8a78
Einasleigh Metamorphics/q,PLe/q,#732619
Einasleigh Metamorphics/wm,PLe/wm,#b3705e
Eland Metavolcanics,EOa,#bd52a1
Eland Metavolcanics/c,EOa/c,#f085d4
Eland Metavolcanics?,EOa?,#bd52a1
Elbow Creek Granodiorite,Ogel,#ff6936
Elbow Creek Granodiorite?,Ogel?,#ff6936
Election Granite/1,Cgoe/1,#ffa77f
Election Granite/2,Cgoe/2,#ff5500
Election Granite/3,Cgoe/3,#d94c00
Eleven-B Granite,Sgeb,#e332dd
Eleven-B Granite?,Sgeb?,#e332dd
Elimeek Volcanics,Pe,#a5aec9
Elizabeth Creek Granite,Cgze,#ffbff2
Elizabeth Creek Granite-alteration,Cgze/a,#ffa6d9
Elizabeth Creek Granite/p,Cgze/p,#ffbfcc
Elizabeth Creek Granite/p-alteration,Cgze/p/a,#ffa6b3
Elizabeth Sandstone,PLse,#d4e366
Elizabeth Sandstone?,PLse?,#d4e366
Ellenvale beds,CPe,#9799a1
Ellenvale beds?,CPe?,#9799a1
Elphinstone Granite,CPgep,#ff7f7f
Emerald Creek Microgranite,Cgem,#e83177
