UNITNAME,code,colour
Bald Hill Formation/b,Dlb/b,#e6ccfa
Bald Hill Formation/c,Dlb/c,#ccb3e0
Bald Hill Formation/f,Dlb/f,#9980ad
Bald Hill Formation/g,Dlb/g,#ede0ff
Bald Hill Formation/l,Dlb/l,#664c7a
Bald Hill Formation/s,Dlb/s,#b399c7
Bald Hill Formation/v,Dlb/v,#806694
Baldick Granite,Cgodi,#ffd9e6
Balfes Creek Granodiorite/d,SDgbc/d,#ff66c2
Balfes Creek beds,CPb,#b4b8bf
Ballabay Complex,OPgb,#cc3333
Ballara Quartzite,PLkb,#a87033
Ballara Quartzite/1,PLkb/1,#c28a4c
Ballara Quartzite/2,PLkb/2,#755733
Ballara Quartzite/2l,PLkb/2l,#dba366
Ballara Quartzite/2t,PLkb/2t,#f5bd80
Ballara Quartzite/l,PLkb/l,#dba366
Ballara Quartzite/m,PLkb/m,#dba366
Ballara Quartzite/q,PLkb/q,#755733
Ballara Quartzite?,PLkb?,#a87033
Ballast Creek Dacite,Cgcb,#ffbd94
Bally Knob Volcanics/d1,CPb/d1,#9cabab
Bally Knob Volcanics/d2,CPb/d2,#9cabab
Bally Knob Volcanics/r1,CPb/r1,#758a8a
Bally Knob Volcanics/r1?,CPb/r1?,#758a8a
Bally Knob Volcanics/r2,CPb/r2,#c4cccc
Bally Knob Volcanics/r2?,CPb/r2?,#c4cccc
Ballynure Rhyolite/1,Cbb/1,#bfbfbf
Ballynure Rhyolite/2,Cbb/2,#e5e5e5
Bamford Granite,Cgobm,#ff80ff
Bamford Granite/g,Cgobm/g,#ffccff
Banana Microgranite,CPgba,#ff00c5
Barkers Basalt,Qcb,#ffc7b8
Barkers Basalt>Balcooma Metavolcanics/g,Qcb>EOb/g,#ffc7b8
Barkers Basalt>Balcooma Metavolcanics/v,Qcb>EOb/v,#ffc7b8
Barkers Basalt>Bulgeri Formation,Qcb>Duu,#ffc7b8
Barkers Basalt>Bulgeri Formation?,Qcb>Duu?,#ffc7b8
Barkers Basalt>Dido Tonalite/d,Qcb>Sgi/d,#ffc7b8
Barkers Basalt>Dido Tonalite/t,Qcb>Sgi/t,#ffc7b8
Barkers Basalt>Einasleigh Metamorphics/1a,Qcb>PLe/1a,#ffc7b8
Barkers Basalt>Einasleigh Metamorphics/1e,Qcb>PLe/1e,#ffc7b8
Barkers Basalt>McKinnons Creek Granite,Qcb>Sgm,#ffc7b8
Barkers Basalt>Oasis Metamorphics-PLEo/1,Qcb>PLo/1,#ffc7b8
Barkers Basalt>Oasis Metamorphics-PLEo/3,Qcb>PLo/4,#ffc7b8
Barkers Creek Igneous Complex/ak,Cgak,#ff4c66
Barkers Creek Igneous Complex/ox,Cgox,#e6334c
Barnard Metamorphics,PLOb,#ba855d
Barnard Metamorphics/m,PLOb/m,#fcb069
Barnard Metamorphics/s,PLOb/s,#fcaf68
Barney Knob Granite,Cgzy,#ff1919
Barney Knob Granite?,Cgzy?,#ff1919
Barrabas Granite/2,SDgba/2,#f25975
Barrabas Granite/3,SDgba/3,#b81936
Barrabas Granite/lg,SDgba/lg,#ffd4d6
Barratta Granite,CPgb,#ffb8e0
Bartle Frere Granite,Pga,#ff3859
Barwidgi Granite,Cgoba,#ff4cd9
Barwon Granite,Dgbw,#ffada3
Barwon Granite?,Dgbw?,#ffada3
Batcha Granite,Cgbba,#ffcccc
Batcha Granite/1,Cgbba/1,#ffe6e6
Baumans Camp Granite,Cgb,#ff99ff
Beapeo Rhyolite/d,Cab/d,#e8ebd9
Beapeo Rhyolite/r1,Cab/r1,#cfd1bf
Beapeo Rhyolite/r2,Cab/r2,#b3b5a3
Beasley Creek Tonalite,SDgbe,#ffbee8
Beasley Creek Tonalite/a,SDgbe/a,#ffd9e8
Beasley Creek Tonalite/d,SDgbe/d,#ccbfff
Beasley Creek Tonalite/gd,SDgbe/gd,#ff879e
Bedarra Granite Complex,Cgbd,#db31e0
Bedlog Rhyolite,Cbl,#b8bfcc
Bedlog Rhyolite?,Cbl?,#b8bfcc
Belgravia Granodiorite/1,Cgab/1,#ff80a6
Belgravia Granodiorite/2,Cgab/2,#ff3847
Bellenden Ker Granite,Pgbk,#ff6694
Bellview Granite,Ogwm,#ff2952
Bend Granodiorite,Ogbe,#ff4d5c
Beril Peak Rhyolite,Cnr,#999999
Bernecker Creek Formation,PLeb,#75614c
Bernecker Creek Formation/cs,PLeb/cs,#99806b
Bessie Point Granite,Pgcmb,#ff00c5
Betts Creek beds,Pe,#3fb2eb
Betts Creek beds?,Pe?,#3fb2eb
Beverly Hills Granite,Sgb,#ff7a85
Bewilder Granodiorite,CPgbw,#ff6694
Big Bend Formation,Dfa,#9d7cde
Big Bend Formation?,Dfa?,#9d7cde
Big Bore Granodiorite,Dgbg,#ff5978
Big Surprise Tuff,Pvas,#7a8ef5
Big Tableland Granite,Pgcbt,#ffbfdb
Big Watson Granodiorite,CPgab,#f57a7a
Bigie Formation,PLf,#966133
Bigie Formation-y,PLfy,#c99466
Bigie Formation-y/1,PLfy/1,#966133
Bigie Formation-y/2,PLfy/2,#7d4719
Bigie Formation-y/3,PLfy/3,#d9a673
Bigie Formation-y/4,PLfy/4,#632e00
Bigie Formation-y?,PLfy?,#c99466
Bigie Formation-z,PLfz,#a36e40
Bigie Formation-z/q,PLfz/q,#d6a180
Bigie Formation-z?,PLfz?,#a36e59
Bigie Formation/cg,PLf/cg,#d6a173
Bigie Formation?,PLf?,#966133
Bilch Creek Granodiorite,Cgdn,#ff66ff
Billicumidji Rhyolite Member,PLcc/5,#e68a33
Billings Granite,Cgbb,#ffa699
Billycan Granite,Cgoy,#ff7a85
Bimba Granite,PLgeb,#cd6699
Bird Spring Granite,Cgoi,#ff00c5
Birdbush Basalt Flow,Qbnb,#f5de6e
Birds Well Granite,PLgwz,#e431eb
Birds Well Granite,w,#e431eb
Birds Well Granite?,PLgwz?,#e431eb
Birkhead Formation,Jib,#0d825d
Bismark Granite,Cgod,#e64073
Black Cap Microdiorite,Cgba,#cf5e73
Black Diamond Granite,Cgtl,#ff334d
Black Jack Granodiorite,SDgbj,#cc4073
Black Knight Tonalite,CPgbk,#ff6370
Black Knob Gabbro,Ogbk,#c7c9f2
Black Pinnacle Igneous Complex/1,CPgbp/1,#ffbee8
Black Pinnacle Igneous Complex/2,CPgbp/2,#ffa6cf
Black Pinnacle Igneous Complex/3,CPgbp/3,#ff8cb5
Black Pinnacle Igneous Complex/d,CPgbp/d,#7857ff
Black Pinnacle Igneous Complex/v1,CPvbp/v1,#ffd9f2
Black Prince Granite,Cgtb,#a83333
Black Soil Andesite,Pvab,#9eabd6
Black Soil Andesite/1,Pvab/1,#8073b8
Blackeye Granite,PLge,#bf3b93
Blackman Gap Complex,Sgbm,#e63638
Blackman Gap Complex-alteration,Sgbm/a,#ff4f52
Blanders Granodiorite,Dgbd,#ff99f2
Blaze Creek Gneiss,PLgbc,#a80059
Blencoe Granite,CPgbl,#ff4ccc
Blisters Swamp Granite,Ogbs,#ff5959
Blisters Swamp Granite?,Ogbs?,#ff5959
Bloodwood Granite,Cgto,#ff8c80
Blue Duck Tonalite/d,SDgbd/d,#bdabff
Blue Duck Tonalite/gd,SDgbd/gd,#ffccdb
Blue Duck Tonalite/t,SDgbd/t,#fc6694
Blue Rock Creek beds,Db,#9c80cf
Bluewater Rhyolite,Cbb,#d1d1d1
Bluewater Rhyolite?,Cbb?,#d1d1d1
Boatswain Granodiorite,SDgbw,#ffd9e9
Bock Granodiorite,Cgak,#cd6666
Bogie Creek Granite,Cgo,#cd6699
Bogie Granite/a,CPgbo/a,#ff80ff
Bombarri Granodiorite,Ogbb,#db4c4c
Bombarri Granodiorite?,Ogbb?,#db4c4c
Bonnor Creek Granite,Cgb,#eb00b5
Bonnor Creek Granite/a,Cgb/a,#fa40e6
Bonnor Creek Granite?,Cgb?,#eb00b5
Boolbun Granite,Pgcb,#e64c00
Boolbun Granite?,Pgcb?,#e64c00
Boomarra Metamorphics/f,PLb/f,#9c361c
Boomarra Metamorphics/g,PLb/g,#ff3333
Boomarra Metamorphics/m,PLb/m,#b54f36
Boomarra Metamorphics/q,PLb/q,#ff9c82
Boomarra Metamorphics/s,PLb/s,#e68269
Boomarra Metamorphics?,PLb?,#e68269
Boomerang Basalt,Qmo,#faf766
Boondooma Igneous Complex,PRgbo,#ffbee8
Boondooma Igneous Complex-PRgbo/d,PRgbo/d,#ff8ce8
Boondooma Igneous Complex-PRgbo/g,PRgbo/g,#e68ccf
