X;Y;Z;Strati
549876.810547;7817398.226563;-9643.790039;250.000000
551814.310547;7817060.367188;-9561.540039;250.000000
549164.310547;7821208.539063;-9756.889648;250.000000
550289.310547;7817398.226563;-9630.549805;250.000000
550876.810547;7817266.839844;-9610.530273;250.000000
550614.310547;7817623.468750;-9624.650391;250.000000
550764.310547;7817642.238281;-9594.299805;250.000000
551439.310547;7821077.148438;-9663.910156;250.000000
549889.310547;7820626.667969;-9652.240234;250.000000
550351.810547;7817135.449219;-9574.830078;250.000000
550014.310547;7816684.968750;-9654.209961;250.000000
549426.810547;7818111.488281;-9719.929688;250.000000
549801.810547;7817097.910156;-9629.459961;250.000000
549226.810547;7819181.378906;-9717.990234;250.000000
549276.810547;7820607.898438;-9735.959961;250.000000
550501.810547;7818205.339844;-9668.459961;250.000000
551314.310547;7821396.238281;-9684.599609;250.000000
549339.310547;7819969.718750;-9732.490234;250.000000
549939.310547;7817304.378906;-9633.129883;250.000000
551364.310547;7817623.468750;-9584.150391;250.000000
549564.310547;7821396.238281;-9755.250000;250.000000
549626.810547;7817604.699219;-9603.230469;250.000000
549976.810547;7817829.937500;-9708.650391;250.000000
550364.310547;7817285.609375;-9606.339844;250.000000
549364.310547;7820664.210938;-9737.860352;250.000000
551714.310547;7821696.558594;-9589.309570;250.000000
551289.310547;7818073.949219;-9529.000000;250.000000
550826.810547;7820438.968750;-9506.629883;250.000000
549014.310547;7820026.027344;-9723.769531;250.000000
549151.810547;7817567.160156;-9538.919922;250.000000
549639.310547;7816853.898438;-9660.759766;250.000000
550014.310547;7817529.617188;-9662.700195;250.000000
549939.310547;7817961.328125;-9712.379883;250.000000
549601.810547;7817998.871094;-9699.269531;250.000000
550614.310547;7816760.050781;-9646.290039;250.000000
550639.310547;7820964.531250;-9625.679688;250.000000
551539.310547;7821264.847656;-9666.889648;250.000000
549001.810547;7817266.839844;-9568.849609;250.000000
549576.810547;7819331.539063;-9666.129883;250.000000
549101.810547;7821377.468750;-9766.049805;250.000000
548914.310547;7819857.097656;-9728.929688;250.000000
