X;Y;Z;Strati
550664.310547;7820964.531250;-9108.379883;60.000000
550714.310547;7820964.531250;-9114.150391;60.000000
551876.810547;7820645.437500;-9049.150391;60.000000
552039.310547;7821002.070313;-9081.070313;60.000000
552401.810547;7820044.800781;-9022.629883;60.000000
552064.310547;7819894.640625;-8991.379883;60.000000
551226.810547;7821377.468750;-9129.620117;60.000000
552451.810547;7818149.027344;-9027.639648;60.000000
549551.810547;7818317.957031;-9088.570313;60.000000
552076.810547;7816966.519531;-8982.769531;60.000000
549664.310547;7817998.871094;-9093.480469;60.000000
551339.310547;7818355.500000;-9016.410156;60.000000
550676.810547;7821659.019531;-9156.519531;60.000000
551451.810547;7819500.468750;-9034.000000;60.000000
550826.810547;7821039.609375;-9110.919922;60.000000
551889.310547;7817905.019531;-9016.049805;60.000000
551614.310547;7817079.140625;-9017.639648;60.000000
549051.810547;7819049.988281;-9137.570313;60.000000
548901.810547;7820101.109375;-9157.410156;60.000000
551789.310547;7820420.199219;-9016.209961;60.000000
548976.810547;7818956.140625;-9142.370117;60.000000
549876.810547;7820251.269531;-9043.190430;60.000000
549589.310547;7818524.429688;-9072.940430;60.000000
551301.810547;7820082.339844;-9055.889648;60.000000
552089.310547;7821133.457031;-9080.980469;60.000000
552139.310547;7820438.968750;-8992.599609;60.000000
549514.310547;7819932.179688;-9119.139648;60.000000
551839.310547;7819444.160156;-9034.570313;60.000000
550039.310547;7821339.929688;-9161.889648;60.000000
549426.810547;7819800.789063;-9131.820313;60.000000
551976.810547;7818599.507813;-9035.700195;60.000000
551264.310547;7821546.398438;-9123.669922;60.000000
551739.310547;7821339.929688;-9108.570313;60.000000
550301.810547;7820101.109375;-8950.030273;60.000000
550451.810547;7820138.648438;-8935.719727;60.000000
549701.810547;7818092.718750;-9093.160156;60.000000
551189.310547;7820682.980469;-9083.839844;60.000000
551801.810547;7821133.457031;-9094.809570;60.000000
550814.310547;7821152.230469;-9122.809570;60.000000
550114.310547;7820157.417969;-8974.330078;60.000000
549114.310547;7819725.710938;-9155.490234;60.000000
550264.310547;7821152.230469;-9128.490234;60.000000
550889.310547;7821208.539063;-9122.070313;60.000000
549764.310547;7817360.687500;-9053.429688;60.000000
550251.810547;7821508.859375;-9149.790039;60.000000
550051.810547;7818505.660156;-9078.179688;60.000000
552114.310547;7817116.679688;-8974.929688;60.000000
551714.310547;7819444.160156;-9043.129883;60.000000
549914.310547;7821189.769531;-9154.440430;60.000000
552139.310547;7817473.308594;-8992.160156;60.000000
551126.810547;7820814.371094;-9092.799805;60.000000
549701.810547;7817679.777344;-9069.650391;60.000000
549476.810547;7820176.187500;-9129.099609;60.000000
548964.310547;7820570.359375;-9184.639648;60.000000
552289.310547;7820532.820313;-9029.750000;60.000000
549664.310547;7819706.937500;-9093.169922;60.000000
552251.810547;7819181.378906;-9051.009766;60.000000
551976.810547;7816928.980469;-8998.629883;60.000000
548939.310547;7819406.617188;-9157.709961;60.000000
549114.310547;7820664.210938;-9185.660156;60.000000
549726.810547;7817961.328125;-9095.389648;60.000000
550014.310547;7818092.718750;-9100.769531;60.000000
551114.310547;7816816.359375;-9028.910156;60.000000
549476.810547;7821471.320313;-9185.599609;60.000000
549151.810547;7818824.750000;-9120.679688;60.000000
549001.810547;7819444.160156;-9151.290039;60.000000
551814.310547;7816910.207031;-9010.910156;60.000000
549514.310547;7817191.757813;-9024.160156;60.000000
551564.310547;7816835.128906;-9015.950195;60.000000
552139.310547;7818411.808594;-9041.349609;60.000000
552201.810547;7820495.281250;-9011.400391;60.000000
552226.810547;7817548.386719;-8986.509766;60.000000
551464.310547;7817285.609375;-9013.169922;60.000000
551039.310547;7821321.160156;-9128.269531;60.000000
549951.810547;7821734.101563;-9188.940430;60.000000
552276.810547;7821002.070313;-9070.089844;60.000000
549114.310547;7819444.160156;-9142.549805;60.000000
552001.810547;7820570.359375;-9037.240234;60.000000
552001.810547;7820514.050781;-9022.349609;60.000000
552201.810547;7820438.968750;-9001.200195;60.000000
551789.310547;7821583.941406;-9070.950195;60.000000
550889.310547;7821152.230469;-9116.490234;60.000000
551301.810547;7818468.117188;-9015.780273;60.000000
551439.310547;7820626.667969;-9078.950195;60.000000
549951.810547;7820870.679688;-9124.490234;60.000000
549114.310547;7821227.308594;-9192.629883;60.000000
552214.310547;7818374.269531;-9042.679688;60.000000
550889.310547;7820476.507813;-9012.849609;60.000000
549389.310547;7817060.367188;-9044.150391;60.000000
552114.310547;7817398.226563;-8984.110352;60.000000
551226.810547;7816947.750000;-9026.139648;60.000000
549276.810547;7820457.738281;-9152.769531;60.000000
551951.810547;7819631.859375;-9018.879883;60.000000
551001.810547;7818693.359375;-9045.660156;60.000000
549614.310547;7817097.910156;-9044.820313;60.000000
551526.810547;7818524.429688;-9022.950195;60.000000
551001.810547;7821490.089844;-9125.209961;60.000000
548989.310547;7820964.531250;-9197.250000;60.000000
549451.810547;7819913.410156;-9127.440430;60.000000
550114.310547;7820401.429688;-9005.000000;60.000000
550714.310547;7820382.660156;-8964.639648;60.000000
551264.310547;7817172.988281;-9016.990234;60.000000
551539.310547;7821583.941406;-9098.820313;60.000000
551176.810547;7820983.296875;-9111.330078;60.000000
551526.810547;7817510.847656;-9026.500000;60.000000
548976.810547;7819594.320313;-9148.580078;60.000000
549164.310547;7820270.039063;-9142.589844;60.000000
551301.810547;7817323.148438;-9014.500000;60.000000
551876.810547;7818599.507813;-9031.549805;60.000000
552226.810547;7818411.808594;-9045.000000;60.000000
549776.810547;7820101.109375;-9081.309570;60.000000
551276.810547;7821490.089844;-9124.530273;60.000000
551751.810547;7816947.750000;-9013.000000;60.000000
551939.310547;7819444.160156;-9033.190430;60.000000
551564.310547;7821283.617188;-9116.110352;60.000000
551239.310547;7819725.710938;-9049.009766;60.000000
551751.810547;7818805.980469;-9025.379883;60.000000
551439.310547;7818693.359375;-9012.190430;60.000000
550989.310547;7820288.808594;-9020.780273;60.000000
549289.310547;7820701.750000;-9179.320313;60.000000
551614.310547;7820701.750000;-9068.860352;60.000000
551014.310547;7820495.281250;-9040.179688;60.000000
552126.810547;7820326.347656;-8973.490234;60.000000
549064.310547;7816684.968750;-9090.639648;60.000000
549689.310547;7817248.070313;-9044.910156;60.000000
549626.810547;7818993.679688;-9070.589844;60.000000
551564.310547;7819575.550781;-9040.009766;60.000000
551914.310547;7821133.457031;-9091.099609;60.000000
551326.810547;7819782.019531;-9053.889648;60.000000
549964.310547;7820476.507813;-9063.660156;60.000000
549814.310547;7817454.539063;-9064.799805;60.000000
549414.310547;7819932.179688;-9131.070313;60.000000
551951.810547;7821809.179688;-9017.330078;60.000000
551989.310547;7820307.578125;-8968.629883;60.000000
552064.310547;7819969.718750;-8977.030273;60.000000
549776.810547;7821433.781250;-9179.049805;60.000000
550051.810547;7820082.339844;-9004.440430;60.000000
551326.810547;7821546.398438;-9119.330078;60.000000
551176.810547;7819125.070313;-9042.150391;60.000000
551626.810547;7818749.667969;-9015.049805;60.000000
552226.810547;7817886.250000;-9006.599609;60.000000
551976.810547;7817248.070313;-9003.219727;60.000000
552089.310547;7818486.890625;-9040.540039;60.000000
549776.810547;7818205.339844;-9091.280273;60.000000
549551.810547;7820758.058594;-9155.099609;60.000000
550889.310547;7821302.390625;-9131.959961;60.000000
551214.310547;7817022.828125;-9028.629883;60.000000
551551.810547;7818336.730469;-9023.730469;60.000000
552139.310547;7821152.230469;-9080.679688;60.000000
551214.310547;7817172.988281;-9019.200195;60.000000
552326.810547;7819800.789063;-9014.410156;60.000000
549176.810547;7820532.820313;-9176.879883;60.000000
549589.310547;7820983.296875;-9161.379883;60.000000
551664.310547;7819049.988281;-9036.849609;60.000000
551726.810547;7818899.828125;-9031.019531;60.000000
551614.310547;7816741.277344;-9013.030273;60.000000
551914.310547;7821433.781250;-9088.820313;60.000000
550064.310547;7818374.269531;-9089.190430;60.000000
552414.310547;7817304.378906;-8929.370117;60.000000
551314.310547;7818524.429688;-9015.250000;60.000000
550689.310547;7817980.097656;-9053.019531;60.000000
550026.810547;7820701.750000;-9080.349609;60.000000
551551.810547;7821433.781250;-9114.620117;60.000000
551439.310547;7819143.839844;-9045.070313;60.000000
550064.310547;7820589.128906;-9053.740234;60.000000
549001.810547;7820232.500000;-9156.129883;60.000000
552376.810547;7821246.078125;-9070.250000;60.000000
549026.810547;7817097.910156;-9062.740234;60.000000
551501.810547;7821396.238281;-9116.969727;60.000000
549514.310547;7820270.039063;-9126.650391;60.000000
549626.810547;7819875.867188;-9098.910156;60.000000
551401.810547;7818843.519531;-9021.780273;60.000000
552051.810547;7817379.460938;-8985.330078;60.000000
549751.810547;7820645.437500;-9124.589844;60.000000
551339.310547;7816966.519531;-9027.780273;60.000000
551351.810547;7818449.347656;-9016.370117;60.000000
550801.810547;7816722.507813;-9055.900391;60.000000
551851.810547;7821208.539063;-9095.480469;60.000000
551851.810547;7817698.546875;-9015.360352;60.000000
552414.310547;7820420.199219;-9035.950195;60.000000
549614.310547;7820044.800781;-9111.990234;60.000000
549951.810547;7818580.738281;-9058.070313;60.000000
549689.310547;7821321.160156;-9173.799805;60.000000
549314.310547;7819913.410156;-9140.269531;60.000000
551301.810547;7816722.507813;-9014.030273;60.000000
550326.810547;7820326.347656;-8952.019531;60.000000
550589.310547;7819594.320313;-8998.009766;60.000000
551076.810547;7820720.519531;-9081.320313;60.000000
549989.310547;7817510.847656;-9062.730469;60.000000
551364.310547;7820776.828125;-9091.480469;60.000000
551051.810547;7821377.468750;-9129.950195;60.000000
548976.810547;7819613.089844;-9149.360352;60.000000
550364.310547;7821715.328125;-9161.309570;60.000000
551589.310547;7821734.101563;-9070.730469;60.000000
551276.810547;7818393.039063;-9017.450195;60.000000
551889.310547;7816703.738281;-8992.410156;60.000000
550726.810547;7821827.949219;-9150.309570;60.000000
550951.810547;7820007.257813;-9026.280273;60.000000
550676.810547;7821490.089844;-9144.629883;60.000000
549164.310547;7819556.777344;-9143.650391;60.000000
551651.810547;7819538.007813;-9037.110352;60.000000
548889.310547;7819838.328125;-9150.639648;60.000000
549851.810547;7816722.507813;-9060.209961;60.000000
549551.810547;7821471.320313;-9178.400391;60.000000
549489.310547;7817285.609375;-9009.030273;60.000000
551564.310547;7818430.578125;-9027.669922;60.000000
552114.310547;7818674.589844;-9044.839844;60.000000
551876.810547;7817548.386719;-9008.709961;60.000000
549501.810547;7816966.519531;-9054.150391;60.000000
550151.810547;7818393.039063;-9088.070313;60.000000
549814.310547;7821246.078125;-9164.019531;60.000000
548939.310547;7817341.917969;-9074.139648;60.000000
549326.810547;7819819.558594;-9140.129883;60.000000
549914.310547;7819068.757813;-9050.530273;60.000000
549276.810547;7817961.328125;-9096.339844;60.000000
552051.810547;7820833.140625;-9064.009766;60.000000
549789.310547;7816722.507813;-9060.629883;60.000000
551776.810547;7818224.109375;-9011.860352;60.000000
549089.310547;7818468.117188;-9122.379883;60.000000
549914.310547;7820194.960938;-9035.000000;60.000000
549264.310547;7819988.488281;-9146.700195;60.000000
550214.310547;7820363.886719;-8960.509766;60.000000
549239.310547;7819294.000000;-9131.780273;60.000000
552126.810547;7818167.796875;-9037.639648;60.000000
550151.810547;7821565.167969;-9160.580078;60.000000
549989.310547;7816853.898438;-9058.580078;60.000000
550051.810547;7818674.589844;-9055.559570;60.000000
551389.310547;7821377.468750;-9114.690430;60.000000
551714.310547;7817097.910156;-9014.339844;60.000000
552239.310547;7816853.898438;-8964.290039;60.000000
549689.310547;7820570.359375;-9125.280273;60.000000
550201.810547;7820007.257813;-8962.330078;60.000000
550139.310547;7821227.308594;-9144.250000;60.000000
550826.810547;7821546.398438;-9137.280273;60.000000
552064.310547;7820739.289063;-9060.330078;60.000000
549014.310547;7820476.507813;-9178.870117;60.000000
551889.310547;7817285.609375;-9002.030273;60.000000
