X;Y;Z;Strati
550551.810547;7819218.917969;-8757.190430;0.000000
550551.810547;7819200.148438;-8753.290039;0.000000
550551.810547;7819181.378906;-8753.509766;0.000000
550551.810547;7819162.609375;-8759.330078;0.000000
550551.810547;7819143.839844;-8765.190430;0.000000
550551.810547;7819125.070313;-8767.519531;0.000000
550551.810547;7819106.300781;-8768.379883;0.000000
550551.810547;7819087.527344;-8770.809570;0.000000
550551.810547;7819068.757813;-8773.339844;0.000000
550551.810547;7819049.988281;-8774.730469;0.000000
550551.810547;7819031.218750;-8778.080078;0.000000
550551.810547;7819012.449219;-8782.450195;0.000000
550551.810547;7818993.679688;-8786.620117;0.000000
550551.810547;7818974.910156;-8791.830078;0.000000
550551.810547;7818956.140625;-8794.839844;0.000000
550551.810547;7818937.367188;-8797.280273;0.000000
550551.810547;7818918.597656;-8799.620117;0.000000
550551.810547;7818899.828125;-8804.299805;0.000000
550551.810547;7818881.058594;-8806.769531;0.000000
550551.810547;7818862.289063;-8807.580078;0.000000
550551.810547;7818843.519531;-8808.559570;0.000000
550551.810547;7818824.750000;-8810.700195;0.000000
550551.810547;7818805.980469;-8811.969727;0.000000
550551.810547;7818787.207031;-8812.419922;0.000000
550551.810547;7818768.437500;-8812.679688;0.000000
550551.810547;7818749.667969;-8813.209961;0.000000
550551.810547;7818730.898438;-8813.750000;0.000000
550551.810547;7818712.128906;-8815.459961;0.000000
550551.810547;7818693.359375;-8816.629883;0.000000
550551.810547;7818674.589844;-8818.150391;0.000000
550551.810547;7818655.820313;-8818.929688;0.000000
550551.810547;7818637.046875;-8820.179688;0.000000
550551.810547;7818618.281250;-8820.469727;0.000000
550551.810547;7818599.507813;-8819.559570;0.000000
550551.810547;7818580.738281;-8820.679688;0.000000
550551.810547;7818561.968750;-8819.440430;0.000000
550551.810547;7818543.199219;-8819.160156;0.000000
550551.810547;7818524.429688;-8821.790039;0.000000
550551.810547;7818505.660156;-8824.790039;0.000000
550551.810547;7818486.890625;-8824.190430;0.000000
550551.810547;7818468.117188;-8823.679688;0.000000
550551.810547;7818449.347656;-8825.419922;0.000000
550551.810547;7818430.578125;-8827.070313;0.000000
550551.810547;7818411.808594;-8825.980469;0.000000
550551.810547;7818393.039063;-8824.799805;0.000000
550551.810547;7818374.269531;-8825.240234;0.000000
550551.810547;7818355.500000;-8824.669922;0.000000
550551.810547;7818336.730469;-8823.740234;0.000000
550551.810547;7818317.957031;-8824.230469;0.000000
550551.810547;7818299.187500;-8826.429688;0.000000
550551.810547;7818280.417969;-8829.400391;0.000000
550551.810547;7818261.648438;-8831.589844;0.000000
550551.810547;7818242.878906;-8833.290039;0.000000
550551.810547;7818224.109375;-8834.599609;0.000000
550551.810547;7818205.339844;-8835.200195;0.000000
550551.810547;7818186.570313;-8834.849609;0.000000
550551.810547;7818167.796875;-8834.469727;0.000000
550551.810547;7818149.027344;-8834.209961;0.000000
550551.810547;7818130.257813;-8833.190430;0.000000
550551.810547;7818111.488281;-8833.209961;0.000000
550551.810547;7818092.718750;-8833.040039;0.000000
550551.810547;7818073.949219;-8831.480469;0.000000
550551.810547;7818055.179688;-8830.290039;0.000000
550551.810547;7818036.410156;-8829.860352;0.000000
550551.810547;7818017.636719;-8829.950195;0.000000
550551.810547;7817998.871094;-8829.889648;0.000000
550551.810547;7817980.097656;-8830.320313;0.000000
550551.810547;7817961.328125;-8829.410156;0.000000
550551.810547;7817942.558594;-8829.150391;0.000000
550551.810547;7817923.789063;-8829.690430;0.000000
550551.810547;7817905.019531;-8830.280273;0.000000
550551.810547;7817886.250000;-8829.549805;0.000000
550551.810547;7817867.480469;-8829.059570;0.000000
550551.810547;7817848.710938;-8829.480469;0.000000
550551.810547;7817829.937500;-8829.940430;0.000000
550551.810547;7817811.167969;-8830.830078;0.000000
550551.810547;7817792.398438;-8831.459961;0.000000
550551.810547;7817773.628906;-8831.259766;0.000000
550551.810547;7817754.859375;-8830.719727;0.000000
550551.810547;7817736.089844;-8829.959961;0.000000
550551.810547;7817717.320313;-8828.980469;0.000000
550551.810547;7817698.546875;-8827.980469;0.000000
550551.810547;7817679.777344;-8827.190430;0.000000
550551.810547;7817661.007813;-8827.509766;0.000000
550551.810547;7817642.238281;-8828.049805;0.000000
550551.810547;7817623.468750;-8828.099609;0.000000
550551.810547;7817604.699219;-8828.160156;0.000000
550551.810547;7817585.929688;-8828.299805;0.000000
550551.810547;7817567.160156;-8828.650391;0.000000
550551.810547;7817548.386719;-8829.019531;0.000000
550551.810547;7817529.617188;-8829.019531;0.000000
550551.810547;7817510.847656;-8829.679688;0.000000
550551.810547;7817492.078125;-8829.950195;0.000000
550551.810547;7817473.308594;-8829.019531;0.000000
550551.810547;7817454.539063;-8828.740234;0.000000
550551.810547;7817435.769531;-8829.049805;0.000000
550551.810547;7817417.000000;-8829.509766;0.000000
550551.810547;7817398.226563;-8828.860352;0.000000
550551.810547;7817379.460938;-8826.650391;0.000000
550551.810547;7817360.687500;-8825.219727;0.000000
550551.810547;7817341.917969;-8823.820313;0.000000
550551.810547;7817323.148438;-8822.219727;0.000000
550551.810547;7817304.378906;-8822.019531;0.000000
550551.810547;7817285.609375;-8821.480469;0.000000
550551.810547;7817266.839844;-8819.860352;0.000000
550551.810547;7817248.070313;-8817.730469;0.000000
550551.810547;7817229.300781;-8813.629883;0.000000
550551.810547;7817210.527344;-8809.219727;0.000000
550551.810547;7817191.757813;-8807.620117;0.000000
550551.810547;7817172.988281;-8808.839844;0.000000
550551.810547;7817154.218750;-8811.849609;0.000000
550551.810547;7817135.449219;-8814.099609;0.000000
550551.810547;7817116.679688;-8814.480469;0.000000
550551.810547;7817097.910156;-8814.889648;0.000000
550551.810547;7817079.140625;-8816.080078;0.000000
550551.810547;7817060.367188;-8817.459961;0.000000
550551.810547;7817041.597656;-8818.820313;0.000000
550551.810547;7817022.828125;-8820.700195;0.000000
550551.810547;7817004.058594;-8824.519531;0.000000
550551.810547;7816985.289063;-8828.839844;0.000000
550551.810547;7816966.519531;-8831.089844;0.000000
550551.810547;7816947.750000;-8832.459961;0.000000
550551.810547;7816928.980469;-8833.549805;0.000000
550551.810547;7816910.207031;-8830.879883;0.000000
