x	y	z	dip	strike	event	
0.000000	0.000000	5000.000000	0.000000	90.000000	0	
0.000000	0.000000	5000.000000	89.999654	179.999654	1	
0.000000	0.000000	5000.000000	89.999654	179.999654	2	
0.000000	0.000000	5000.000000	67.922044	404.628762	3	
0.000000	0.000000	5500.000000	67.922044	404.628762	0	
0.000000	0.000000	5500.000000	89.999654	179.999654	1	
0.000000	0.000000	5500.000000	89.999654	179.999654	2	
0.000000	0.000000	5500.000000	67.922044	404.628762	3	
0.000000	0.000000	6000.000000	67.922044	404.628762	0	
0.000000	0.000000	6000.000000	89.999654	179.999654	1	
0.000000	0.000000	6000.000000	89.999654	179.999654	2	
0.000000	0.000000	6000.000000	67.922044	404.628762	3	
0.000000	0.000000	6500.000000	67.922044	404.628762	0	
0.000000	0.000000	6500.000000	89.999654	179.999654	1	
0.000000	0.000000	6500.000000	89.999654	179.999654	2	
0.000000	0.000000	6500.000000	67.922044	404.628762	3	
0.000000	0.000000	7000.000000	67.922044	404.628762	0	
0.000000	0.000000	7000.000000	89.999654	179.999654	1	
0.000000	0.000000	7000.000000	89.999654	179.999654	2	
0.000000	0.000000	7000.000000	67.922044	404.628762	3	
0.000000	0.000000	7500.000000	67.922044	404.628762	0	
0.000000	0.000000	7500.000000	89.999654	179.999654	1	
0.000000	0.000000	7500.000000	89.999654	179.999654	2	
0.000000	0.000000	7500.000000	67.922044	404.628762	3	
0.000000	0.000000	8000.000000	67.922044	404.628762	0	
0.000000	0.000000	8000.000000	89.999654	179.999654	1	
0.000000	0.000000	8000.000000	89.999654	179.999654	2	
0.000000	0.000000	8000.000000	67.922044	404.628762	3	
0.000000	0.000000	8500.000000	67.922044	404.628762	0	
0.000000	0.000000	8500.000000	89.999654	179.999654	1	
0.000000	0.000000	8500.000000	89.999654	179.999654	2	
0.000000	0.000000	8500.000000	67.922044	404.628762	3	
0.000000	0.000000	9000.000000	67.922044	404.628762	0	
0.000000	0.000000	9000.000000	89.999654	179.999654	1	
0.000000	0.000000	9000.000000	89.999654	179.999654	2	
0.000000	0.000000	9000.000000	67.922044	404.628762	3	
0.000000	0.000000	9500.000000	67.922044	404.628762	0	
0.000000	0.000000	9500.000000	89.999654	179.999654	1	
0.000000	0.000000	9500.000000	89.999654	179.999654	2	
0.000000	0.000000	9500.000000	67.922044	404.628762	3	
0.000000	0.000000	10000.000000	67.922044	404.628762	0	
0.000000	0.000000	10000.000000	89.999654	179.999654	1	
0.000000	0.000000	10000.000000	89.999654	179.999654	2	
0.000000	0.000000	10000.000000	67.922044	404.628762	3	
500.000000	0.000000	5000.000000	67.922044	404.628762	0	
500.000000	0.000000	5000.000000	89.999654	179.999654	1	
500.000000	0.000000	5000.000000	89.999654	179.999654	2	
500.000000	0.000000	5000.000000	69.965373	399.166448	3	
500.000000	0.000000	5500.000000	69.965373	399.166448	0	
500.000000	0.000000	5500.000000	89.999654	179.999654	1	
500.000000	0.000000	5500.000000	89.999654	179.999654	2	
500.000000	0.000000	5500.000000	69.965373	399.166448	3	
500.000000	0.000000	6000.000000	69.965373	399.166448	0	
500.000000	0.000000	6000.000000	89.999654	179.999654	1	
500.000000	0.000000	6000.000000	89.999654	179.999654	2	
