,X,Y,Z,val,feature_name,nx,ny,nz
0,550551.810547,7821921.8007809995,-9734.299805,250.0,strati,,,
1,550551.810547,7821903.0273440005,-9731.80957,250.0,strati,,,
2,550551.810547,7821884.257813,-9730.330078,250.0,strati,,,
3,550551.810547,7821865.4882809995,-9729.330078,250.0,strati,,,
4,550551.810547,7821846.71875,-9729.679688,250.0,strati,,,
5,550551.810547,7821827.9492190005,-9730.709961,250.0,strati,,,
6,550551.810547,7821809.179688,-9730.879883,250.0,strati,,,
7,550551.810547,7821790.4101559995,-9730.450195,250.0,strati,,,
8,550551.810547,7821771.640625,-9730.040039,250.0,strati,,,
9,550551.810547,7821752.867188,-9730.120117,250.0,strati,,,
10,550551.810547,7821734.101563,-9734.049805,250.0,strati,,,
11,550551.810547,7821715.328125,-9738.860352,250.0,strati,,,
12,550551.810547,7821696.5585940005,-9739.889648,250.0,strati,,,
13,550551.810547,7821677.789063,-9742.009766,250.0,strati,,,
14,550551.810547,7821659.0195309995,-9742.530273,250.0,strati,,,
15,550551.810547,7821640.25,-9739.570313,250.0,strati,,,
16,550551.810547,7821621.4804690005,-9736.240234,250.0,strati,,,
17,550551.810547,7821602.710938,-9734.339844,250.0,strati,,,
18,550551.810547,7821583.9414059995,-9731.75,250.0,strati,,,
19,550551.810547,7821565.1679690005,-9725.660156,250.0,strati,,,
20,550551.810547,7821546.398438,-9755.589844,250.0,strati,,,
21,550551.810547,7821527.6289059995,-9763.25,250.0,strati,,,
22,550551.810547,7821508.859375,-9763.849609,250.0,strati,,,
23,550551.810547,7821490.0898440005,-9759.570313,250.0,strati,,,
24,550551.810547,7821471.320313,-9756.870117,250.0,strati,,,
25,550551.810547,7821452.5507809995,-9755.69043,250.0,strati,,,
26,550551.810547,7821433.78125,-9752.549805,250.0,strati,,,
27,550551.810547,7821415.007813,-9751.469727,250.0,strati,,,
28,550551.810547,7821396.2382809995,-9745.540039,250.0,strati,,,
29,550551.810547,7821377.46875,-9730.040039,250.0,strati,,,
30,550551.810547,7821358.6992190005,-9725.639648,250.0,strati,,,
31,550551.810547,7821339.929688,-9725.160156,250.0,strati,,,
32,550551.810547,7821321.1601559995,-9725.719727,250.0,strati,,,
33,550551.810547,7821302.390625,-9728.080078,250.0,strati,,,
34,550551.810547,7821283.617188,-9724.040039,250.0,strati,,,
35,550551.810547,7821264.8476559995,-9721.629883,250.0,strati,,,
36,550551.810547,7821246.078125,-9718.209961,250.0,strati,,,
37,550551.810547,7821227.3085940005,-9712.990234,250.0,strati,,,
38,550551.810547,7821208.539063,-9711.759766,250.0,strati,,,
39,550551.810547,7821189.7695309995,-9711.530273,250.0,strati,,,
40,550551.810547,7821171.0,-9712.879883,250.0,strati,,,
41,550551.810547,7821152.2304690005,-9694.780273,250.0,strati,,,
42,550551.810547,7821133.4570309995,-9691.370117,250.0,strati,,,
43,550551.810547,7821114.6914059995,-9688.700195,250.0,strati,,,
44,550551.810547,7821095.9179690005,-9683.570313,250.0,strati,,,
45,550551.810547,7821077.148438,-9668.129883,250.0,strati,,,
46,550551.810547,7821058.3789059995,-9657.780273,250.0,strati,,,
47,550551.810547,7821039.609375,-9656.339844,250.0,strati,,,
48,550551.810547,7821020.8398440005,-9636.160156,250.0,strati,,,
49,550551.810547,7821002.070313,-9638.099609,250.0,strati,,,
50,550551.810547,7820983.296875,-9639.160156,250.0,strati,,,
51,550551.810547,7820964.53125,-9631.5,250.0,strati,,,
52,550551.810547,7820945.757813,-9621.509766,250.0,strati,,,
53,550551.810547,7820926.9882809995,-9619.889648,250.0,strati,,,
54,550551.810547,7820908.21875,-9605.230469,250.0,strati,,,
55,550551.810547,7820889.4492190005,-9610.25,250.0,strati,,,
56,550551.810547,7820870.679688,-9592.830078,250.0,strati,,,
57,550551.810547,7820851.9101559995,-9591.980469,250.0,strati,,,
58,550551.810547,7820833.140625,-9585.230469,250.0,strati,,,
59,550551.810547,7820814.3710940005,-9574.259766,250.0,strati,,,
60,550551.810547,7820795.5976559995,-9573.379883,250.0,strati,,,
61,550551.810547,7820776.828125,-9562.120117,250.0,strati,,,
62,550551.810547,7820758.0585940005,-9551.200195,250.0,strati,,,
63,550551.810547,7820739.289063,-9546.540039,250.0,strati,,,
64,550551.810547,7820720.5195309995,-9538.169922,250.0,strati,,,
65,550551.810547,7820701.75,-9531.730469,250.0,strati,,,
66,550551.810547,7820682.9804690005,-9523.480469,250.0,strati,,,
67,550551.810547,7820664.210938,-9516.240234,250.0,strati,,,
68,550551.810547,7820645.4375,-9510.089844,250.0,strati,,,
69,550551.810547,7820626.6679690005,-9504.5,250.0,strati,,,
70,550551.810547,7820607.898438,-9473.580078,250.0,strati,,,
71,550551.810547,7820589.1289059995,-9458.240234,250.0,strati,,,
72,550551.810547,7820570.359375,-9449.700195,250.0,strati,,,
73,550551.810547,7820551.5898440005,-9444.049805,250.0,strati,,,
74,550551.810547,7820532.820313,-9436.360352,250.0,strati,,,
75,550551.810547,7820514.0507809995,-9426.349609,250.0,strati,,,
76,550551.810547,7820495.28125,-9413.339844,250.0,strati,,,
77,550551.810547,7820476.507813,-9407.650391,250.0,strati,,,
78,550551.810547,7820457.7382809995,-9399.299805,250.0,strati,,,
79,550551.810547,7820438.96875,-9379.44043,250.0,strati,,,
80,550551.810547,7820420.1992190005,-9371.0,250.0,strati,,,
81,550551.810547,7820401.429688,-9369.490234,250.0,strati,,,
82,550551.810547,7820382.6601559995,-9367.94043,250.0,strati,,,
83,550551.810547,7820363.8867190005,-9374.139648,250.0,strati,,,
84,550551.810547,7820345.1210940005,-9393.110352,250.0,strati,,,
85,550551.810547,7820326.3476559995,-9400.549805,250.0,strati,,,
86,550551.810547,7820307.578125,-9402.519531,250.0,strati,,,
87,550551.810547,7820288.8085940005,-9403.969727,250.0,strati,,,
88,550551.810547,7820270.039063,-9406.549805,250.0,strati,,,
89,550551.810547,7820251.2695309995,-9410.070313,250.0,strati,,,
90,550551.810547,7820232.5,-9414.849609,250.0,strati,,,
91,550551.810547,7820213.7304690005,-9420.209961,250.0,strati,,,
92,550551.810547,7820194.960938,-9423.780273,250.0,strati,,,
93,550551.810547,7820176.1875,-9428.389648,250.0,strati,,,
94,550551.810547,7820157.4179690005,-9431.650391,250.0,strati,,,
95,550551.810547,7820138.648438,-9432.419922,250.0,strati,,,
96,550551.810547,7820119.8789059995,-9433.669922,250.0,strati,,,
97,550551.810547,7820101.109375,-9440.299805,250.0,strati,,,
98,550551.810547,7820082.3398440005,-9445.509766,250.0,strati,,,
99,550551.810547,7820063.570313,-9453.790039,250.0,strati,,,
100,550551.810547,7820044.8007809995,-9454.719727,250.0,strati,,,
101,550551.810547,7820026.0273440005,-9458.290039,250.0,strati,,,
102,550551.810547,7820007.257813,-9465.490234,250.0,strati,,,
103,550551.810547,7819988.4882809995,-9468.55957,250.0,strati,,,
