X,Y,Z,azimuth,dip,polarity,formation,source
536210.87008207,7510188.7003023,630.158519706871,190.5343613591532,8.98436683021913,1,Boolgeeda_Iron_Formation,contact_orientations
535875.78469962,7508899.428908305,611.6226974143975,327.90510858415183,12.471816568072612,1,Boolgeeda_Iron_Formation,contact_orientations
535012.80648046,7507579.66520703,600.6126280027603,326.8946574023594,13.999292713650275,1,Boolgeeda_Iron_Formation,contact_orientations
533388.45001875,7506797.650476815,582.1648454852037,320.41734894721776,8.859192816556984,1,Boolgeeda_Iron_Formation,contact_orientations
531366.1013631299,7505676.374451525,576.707736680183,345.50242092861686,12.12566466406932,1,Boolgeeda_Iron_Formation,contact_orientations
529421.309678595,7504710.1013727505,565.9616018171707,352.6279937220409,22.67841806526438,1,Boolgeeda_Iron_Formation,contact_orientations
524259.27105241,7503977.27359394,540.0656874683141,352.39645295963936,23.00323907553997,1,Boolgeeda_Iron_Formation,contact_orientations
522270.81465789,7508359.269010439,552.7793064192113,166.56265176284717,39.76682088372985,1,Woongarra_Rhyolite,contact_orientations
525920.67004418,7508967.8199313,583.1253163648341,157.9128953117812,2.2947942536401342,1,Woongarra_Rhyolite,contact_orientations
529845.50004845,7510076.925272045,594.7764532309302,156.18756611721767,7.7626274526055,1,Woongarra_Rhyolite,contact_orientations
534474.9449992001,7511518.715955185,628.8598126714328,168.74920995562695,4.452252129191663,1,Woongarra_Rhyolite,contact_orientations
538474.719696225,7510615.184064365,624.3472092758706,209.00849212922915,4.29026968620218,1,Woongarra_Rhyolite,contact_orientations
538799.529964705,7508229.175812885,620.0834040794138,305.7782091223035,11.241721824688128,1,Woongarra_Rhyolite,contact_orientations
536809.64598266,7506615.16526687,602.636180960016,338.62588929474424,23.04585607001233,1,Woongarra_Rhyolite,contact_orientations
533256.4094738651,7505285.134928934,600.1877867816322,320.7511069979796,8.680878484694674,1,Woongarra_Rhyolite,contact_orientations
530017.9362378307,7503971.936826875,575.0679199048375,347.57012653634405,23.96531139822824,1,Woongarra_Rhyolite,contact_orientations
526785.574952895,7503255.54432128,545.3228234552003,0.3785208963275295,38.90588602514951,1,Woongarra_Rhyolite,contact_orientations
522476.654958535,7502763.250199409,543.5654139439841,355.6648581063243,24.225323907900048,1,Woongarra_Rhyolite,contact_orientations
531685.33584219,7508472.16879392,592.7228592869262,164.48128171371638,4.275586647116256,1,Turee_Creek_Group,contact_orientations
533074.21471681,7507881.66994208,592.0648330497661,273.0167851265486,8.18007323210088,1,Turee_Creek_Group,contact_orientations
529727.5601100749,7505727.109569751,561.9463026987513,325.7840789716852,13.678904473894676,1,Turee_Creek_Group,contact_orientations
522082.924057035,7504042.75078942,531.4703695469286,349.6450773402397,30.888675071186043,1,Turee_Creek_Group,contact_orientations
537262.5565575237,7490678.238356875,525.0582484584079,178.96667394812573,28.838542815241222,1,Jeerinah_Formation,contact_orientations
538055.8855898951,7491587.9451621715,494.7429958143418,145.07532767069557,27.420344648921343,1,Jeerinah_Formation,contact_orientations
538849.6492983755,7492387.117509551,519.9443740380104,204.7805874925336,25.90415872111282,1,Jeerinah_Formation,contact_orientations
540620.875983165,7493172.636453791,532.1734489025612,162.0729816015005,25.21723511462079,1,Jeerinah_Formation,contact_orientations
542622.155323335,7494097.389712195,537.2919171251309,139.46881956640425,11.89059388600009,1,Jeerinah_Formation,contact_orientations
544390.440603045,7494845.14417776,518.4976578917326,184.3719952350749,10.653031406208925,1,Jeerinah_Formation,contact_orientations
546987.05823905,7495254.41606809,536.9789181585755,97.63055704812336,5.348088898331952,1,Jeerinah_Formation,contact_orientations
548672.119443475,7495884.929453775,566.6099738838063,165.64667377025387,27.247946099303107,1,Jeerinah_Formation,contact_orientations
551376.737618115,7496434.248522704,551.1574760407767,273.2196669517846,51.10081150984638,1,Jeerinah_Formation,contact_orientations
520225.2446093901,7500853.469982956,628.4825265511371,350.00990109894485,45.64063309261918,1,Brockman_Iron_Formation,contact_orientations
521630.52454193495,7509658.29701805,584.5534213482106,174.7524292902275,30.80186909539694,1,Brockman_Iron_Formation,contact_orientations
524077.144053815,7510571.3052757345,601.3269152546818,138.6387647027302,6.475411255317454,1,Brockman_Iron_Formation,contact_orientations
524708.53018518,7510949.8149513,647.4639388938647,137.34652123272184,10.085677909685984,1,Brockman_Iron_Formation,contact_orientations
525628.39027052,7511700.738880375,653.8291223039605,169.53173340151614,13.371492032558308,1,Brockman_Iron_Formation,contact_orientations
526972.604714355,7512280.619265705,610.7434121415755,169.30322048785308,15.042755610102006,1,Brockman_Iron_Formation,contact_orientations
528904.08608859,7512521.430257656,729.8306141485872,152.64081879285357,18.529627125655395,1,Brockman_Iron_Formation,contact_orientations
530114.91593485,7513698.710154755,728.9323220777317,67.01815012231037,21.013677778304896,1,Brockman_Iron_Formation,contact_orientations
529692.1008728449,7514453.199224779,640.7566074277747,97.74267772015872,27.622286078398105,1,Brockman_Iron_Formation,contact_orientations
530183.43382806,7514631.720347891,661.5368650517362,155.71522478274153,27.562417879002368,1,Brockman_Iron_Formation,contact_orientations
530808.7498184701,7514802.99259176,687.2829375968283,159.7398405773879,29.71906658272661,1,Brockman_Iron_Formation,contact_orientations
530845.5281783349,7514954.23893871,706.8888792733406,73.04898463341249,30.47600895547209,1,Brockman_Iron_Formation,contact_orientations
