,thickness
Mount_McRae_Shale_and_Mount_Sylvia_Formation,224.5
Marra_Mamba_Iron_Formation,152.0
Boolgeeda_Iron_Formation,166.5
Woongarra_Rhyolite,389.0
Jeerinah_Formation,600.0
Brockman_Iron_Formation,557.0
Wittenoom_Formation,236.0
Weeli_Wolli_Formation,241.5
Turee_Creek_Group,162.0
Fortescue_Group,236.0
Bunjinah_Formation,236.0
Pyradie_Formation,236.0
