X,Y,Z,name
521588.3817254504,7500713.701949331,596.2389787218352,Mount_McRae_Shale_and_Mount_Sylvia_Formation
520790.42998466,7500582.96937573,592.253634860429,Mount_McRae_Shale_and_Mount_Sylvia_Formation
519713.53061227,7500191.47044685,548.4814242803504,Mount_McRae_Shale_and_Mount_Sylvia_Formation
527989.1321683651,7501093.758504495,546.0052443577555,Mount_McRae_Shale_and_Mount_Sylvia_Formation
526591.88981018,7500682.03115599,545.2800187622879,Mount_McRae_Shale_and_Mount_Sylvia_Formation
525164.74149011,7500478.01038839,555.8617935154689,Mount_McRae_Shale_and_Mount_Sylvia_Formation
522249.9582507248,7500072.981502291,542.2788204650827,Wittenoom_Formation
521177.75841614,7500024.97138615,529.7766110744667,Wittenoom_Formation
519637.3397091,7499435.95032536,515.4533338163503,Wittenoom_Formation
524500.3112717137,7500180.372155858,543.2555005725637,Marra_Mamba_Iron_Formation
522960.03946771007,7499706.49144167,556.3080980307724,Marra_Mamba_Iron_Formation
522503.1624246932,7499751.781237598,552.6455814320934,Marra_Mamba_Iron_Formation
522476.74840981024,7499754.399634302,552.7089652819747,Marra_Mamba_Iron_Formation
522349.8299966399,7499766.98093844,552.5575026437795,Marra_Mamba_Iron_Formation
521446.58837318,7499727.47903245,544.7599128787926,Marra_Mamba_Iron_Formation
519841.0594231,7499099.46094983,510.4416466770517,Marra_Mamba_Iron_Formation
519572.569,7506919.653164822,532.9618589099446,Boolgeeda_Iron_Formation
523662.65909768,7507681.0381808,553.2648872207582,Boolgeeda_Iron_Formation
529551.01978011,7508858.65138341,581.7083409494871,Boolgeeda_Iron_Formation
533875.92854063,7510158.20165744,616.5073953571946,Boolgeeda_Iron_Formation
536393.60892459,7510158.2014165,629.228216772643,Boolgeeda_Iron_Formation
535743.8194369,7508818.17833917,611.1458210860466,Boolgeeda_Iron_Formation
535358.02175147,7508351.18076111,609.3202920853506,Boolgeeda_Iron_Formation
534911.29167542,7507518.66967506,599.0449213039676,Boolgeeda_Iron_Formation
533205.68845587,7506665.63972613,580.0982790689711,Boolgeeda_Iron_Formation
531001.42194969,7505585.11938846,574.2794145236784,Boolgeeda_Iron_Formation
529322.88104122,7504699.10135013,565.2706265945344,Boolgeeda_Iron_Formation
523439.03043066006,7503868.01829011,541.276747612409,Boolgeeda_Iron_Formation
520271.90028074,7503274.97976098,521.912553357591,Boolgeeda_Iron_Formation
519572.569,7507766.246884461,542.7168572452176,Woongarra_Rhyolite
522495.61959948,7508412.01979069,552.9670884769316,Woongarra_Rhyolite
526304.17840575,7509047.07942464,583.7141563470542,Woongarra_Rhyolite
530282.09052034,7510219.19158976,600.8217728744048,Woongarra_Rhyolite
534870.88095819,7511559.22093089,631.9155659421023,Woongarra_Rhyolite
538626.99914284,7510523.67919797,624.8957946700594,Woongarra_Rhyolite
539134.55076838,7509041.66952426,624.3015766560775,Woongarra_Rhyolite
538586.3296624,7507965.16974012,614.1549351374647,Woongarra_Rhyolite
536616.77152144,7506544.1692011,600.5124332192406,Woongarra_Rhyolite
533022.90101448,7505082.13039538,599.8090861379058,Woongarra_Rhyolite
530465.3792449997,7503909.425370066,583.392539044974,Woongarra_Rhyolite
530319.3128349313,7504032.27263876,578.7014660532686,Woongarra_Rhyolite
529716.55964073,7503911.60101499,573.5610983017838,Woongarra_Rhyolite
526610.59938969,7503255.54021624,545.968824012904,Woongarra_Rhyolite
521973.58024352,7502730.49043618,539.1730784270144,Woongarra_Rhyolite
519573.79761216,7502354.69554128,527.1153294069981,Woongarra_Rhyolite
526916.84106346,7507564.58170035,558.8334233069431,Turee_Creek_Group
532013.40103517,7508548.66975352,592.5515072828825,Turee_Creek_Group
533041.40998231,7507717.67045971,590.6297171562805,Turee_Creek_Group
530875.89983758,7506317.63290814,569.996589612033,Turee_Creek_Group
529279.14016946,7505442.59959089,557.2301136649468,Turee_Creek_Group
521098.6489178,7503867.99041291,524.6091276906482,Turee_Creek_Group
519572.569,7503642.476036774,517.5133388151949,Turee_Creek_Group
519572.569,7506415.70848239,524.9495887571422,Turee_Creek_Group
524292.05838839,7507105.03680003,549.5001310148905,Turee_Creek_Group
525888.77727527,7507345.55938777,554.7882533605406,Turee_Creek_Group
537228.8586177184,7489723.89,490.9841349658364,Jeerinah_Formation
537136.6858178998,7490703.924424739,521.2057600449255,Jeerinah_Formation
537401.1220384373,7490669.376894541,533.518686059173,Jeerinah_Formation
538098.5807296064,7491614.983991615,495.7488496293592,Jeerinah_Formation
538118.7718065,7491627.770999412,496.1750126222246,Jeerinah_Formation
538793.6143659471,7492705.192177935,528.7173004470263,Jeerinah_Formation
539046.7372375808,7492281.606914593,528.6461507611348,Jeerinah_Formation
540786.52025592,7493232.14143132,529.4463422204235,Jeerinah_Formation
541365.193430916,7493579.160698384,530.1529944233807,Jeerinah_Formation
541969.616958688,7493291.244828189,551.1850478189867,Jeerinah_Formation
542743.63076161,7494233.64081736,530.7027792422261,Jeerinah_Formation
544641.63007444,7494840.64857289,519.4541952955382,Jeerinah_Formation
547188.05976293,7495399.67004701,555.0526016730425,Jeerinah_Formation
548863.0792892,7495925.17907794,561.2273237809617,Jeerinah_Formation
551376.73608185,7496433.79117526,551.1847949306305,Jeerinah_Formation
551619.35050014,7496470.70824526,556.7689813014849,Jeerinah_Formation
523078.55680128426,7501405.148133702,572.2803606574417,Brockman_Iron_Formation
521225.2012418082,7501026.949760011,606.543539238846,Brockman_Iron_Formation
521198.3765866309,7501022.685718564,604.9055907289714,Brockman_Iron_Formation
519976.91006078,7500799.46789149,617.1889708841026,Brockman_Iron_Formation
519631.44173262,7500691.46114408,595.914101862176,Brockman_Iron_Formation
519572.569,7509309.852351456,618.8363563421602,Brockman_Iron_Formation
521858.95929696,7509706.58503641,564.0623725799909,Brockman_Iron_Formation
524162.85905036,7510539.05147879,611.3366886796176,Brockman_Iron_Formation
524788.12910954,7510968.56984444,653.5937040379179,Brockman_Iron_Formation
525715.24123919,7511806.88528093,635.7665804602275,Brockman_Iron_Formation
