,X,Y,Z,val,feature_name,coord
0,545755.3624073934,7489723.89,674.3337120305703,0,Fault_2997,0
1,547430.9534941226,7491804.482069679,-4799.0,0,Fault_2997,0
2,544315.01813374,7491692.17202982,608.8423420181291,0,Fault_2997,0
3,545970.5755012535,7493747.885211789,-4799.0,0,Fault_2997,0
4,543212.94172121,7492633.64954097,540.9191728101371,0,Fault_2997,0
5,544847.7214855079,7494663.560042382,-4799.0,0,Fault_2997,0
6,541963.19163038,7493283.13978594,549.9515878490478,0,Fault_2997,0
7,543600.7343979055,7495316.481524772,-4799.0,0,Fault_2997,0
8,540638.12432243,7494130.62800413,502.72256808569006,0,Fault_2997,0
9,542261.2197983414,7496146.028364134,-4799.0,0,Fault_2997,0
10,538598.44607519,7497133.1117222,484.3026384285973,0,Fault_2997,0
11,540215.9069201774,7499141.514711994,-4799.0,0,Fault_2997,0
12,535889.29443311,7498465.10473309,494.1987996506309,0,Fault_2997,0
13,537509.7825000841,7500477.267080548,-4799.0,0,Fault_2997,0
14,534479.09627295,7498804.10098736,518.9818313655426,0,Fault_2997,0
15,536107.1654349385,7500825.677922771,-4799.0,0,Fault_2997,0
16,530012.248380578,7489723.89,473.15194527242295,0,Fault_3496,0
17,529544.720349289,7489428.827430924,-4799.0,0,Fault_3496,0
18,527475.04337437,7492999.02684152,493.1021139078194,0,Fault_3496,0
19,527005.7427385113,7492702.844164729,-4799.0,0,Fault_3496,0
20,525796.65808711,7495764.01378774,481.69760274318975,0,Fault_3496,0
21,525328.3707604106,7495468.471420371,-4799.0,0,Fault_3496,0
22,525794.77713101,7496712.51283815,484.2174472251282,0,Fault_3496,0
23,525326.2659120755,7496416.828993418,-4799.0,0,Fault_3496,0
24,525089.15708681,7499446.52318718,513.1166353372248,0,Fault_3496,0
25,524618.0781285325,7499149.216789568,-4799.0,0,Fault_3496,0
26,523814.80919092,7500861.50106209,662.1336878782481,0,Fault_3496,0
27,523330.4898278561,7500555.828060999,-4799.0,0,Fault_3496,0
28,522189.26567998,7502103.99834995,547.9009647774983,0,Fault_3496,0
29,521715.0960780871,7501804.738976575,-4799.0,0,Fault_3496,0
30,539513.18738029,7491597.13566214,596.9398929098236,0,Fault_3498,0
31,537304.8932887733,7489960.80555841,-4799.0,0,Fault_3498,0
32,536570.44569593,7495941.11459244,478.0610450172072,0,Fault_3498,0
33,534410.8159107548,7494340.850096298,-4799.0,0,Fault_3498,0
34,533038.92839015,7500854.6003846,543.3678749096177,0,Fault_3498,0
35,530852.5645674868,7499234.523024005,-4799.0,0,Fault_3498,0
36,532914.74969844,7501129.60123437,558.076259360916,0,Fault_3498,0
37,530722.3648439498,7499505.061626442,-4799.0,0,Fault_3498,0
38,532540.00999317,7501632.11100112,623.4839325489731,0,Fault_3498,0
39,530320.8498199285,7499987.727934779,-4799.0,0,Fault_3498,0
40,531092.21003941,7503242.11012067,622.9533099521017,0,Fault_3498,0
41,528873.2670821078,7501597.888035249,-4799.0,0,Fault_3498,0
42,530175.96563729,7504196.10320143,574.9156341302787,0,Fault_3498,0
43,527976.6874076796,7502566.454843769,-4799.0,0,Fault_3498,0
44,540588.0629057533,7489723.89,558.9449048693546,0,Fault_7439,0
45,540841.4796272003,7490735.518122898,-4799.0,0,Fault_7439,0
46,537143.23934425,7490712.60994997,521.4051540818814,0,Fault_7439,0
47,537394.8878704672,7491717.158558422,-4799.0,0,Fault_7439,0
48,534321.30492983,7491059.07179509,462.304848658814,0,Fault_7439,0
49,534570.1697167858,7492052.47484564,-4799.0,0,Fault_7439,0
50,531616.53103596,7491977.04499859,515.7559699996939,0,Fault_7439,0
51,531867.9134746263,7492980.528243541,-4799.0,0,Fault_7439,0
52,527475.04337437,7492999.02684152,493.1021139078194,0,Fault_7439,0
53,527725.3587723811,7493998.237860415,-4799.0,0,Fault_7439,0
54,520343.17884566,7501712.97896174,535.0082514443101,0,Fault_12647,0
55,521304.6121098258,7502316.891523203,-4799.0,0,Fault_12647,0
56,523430.9410852,7498430.97971338,502.4647052745099,0,Fault_12647,0
57,524386.515707204,7499031.214508689,-4799.0,0,Fault_12647,0
58,524494.08762163,7496605.00666576,489.5510648477169,0,Fault_12647,0
59,525447.3374693801,7497203.7820826275,-4799.0,0,Fault_12647,0
60,525704.70504445,7493463.00413042,492.0876893598282,0,Fault_12647,0
61,526658.4115472689,7494062.066212783,-4799.0,0,Fault_12647,0
62,527869.336680077,7489723.89,448.2019668469705,0,Fault_12647,0
63,528815.1426688317,7490317.992529889,-4799.0,0,Fault_12647,0
64,546639.32683299,7512670.78252025,627.0135395186778,0,Fault_12658,0
65,549549.2755076223,7513836.046061892,-4799.0,0,Fault_12658,0
66,547988.05819589,7511059.14206045,581.4904226184176,0,Fault_12658,0
67,550873.6058975732,7512214.6394747505,-4799.0,0,Fault_12658,0
68,548901.39199359,7509041.56628438,554.3854433347079,0,Fault_12658,0
69,551772.4110796747,7510191.248835875,-4799.0,0,Fault_12658,0
70,548978.50085605,7508211.38333105,544.8950073367284,0,Fault_12658,0
71,551844.4329470467,7509359.029888246,-4799.0,0,Fault_12658,0
72,548667.18383825,7502259.71665453,525.7630544252547,0,Fault_12658,0
73,551522.8609577675,7503403.258811562,-4799.0,0,Fault_12658,0
74,551263.63206693,7499875.89151242,536.5188949139721,0,Fault_12658,0
75,554125.0744545284,7501021.741132452,-4799.0,0,Fault_12658,0
76,551978.745,7499330.080140844,536.5018389409632,0,Fault_12658,0
77,554840.1782453787,7500475.926101838,-4799.0,0,Fault_12658,0
